product_sku_code,customer,year,yearweek,nielsen_total_volume,promotion_indicator,top_brand,flavor_internal,pack_type_internal,pack_size_internal,units_per_package_internal,material_medium_description,price_per_item,price_per_litre,price_per_100ml,week,week_sin,week_cos,continuous_week
283978,L2_TESCO,2025,202507,76758,0,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.4963,1.426457143,0.142645714,7,0.748510748,0.663122658,110
408320,L2_SAINSBURY'S,2025,202503,6238,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.5398,0.7699,0.07699,3,0.354604887,0.935016243,106
414198,L2_ASDA,2025,202504,8348,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.7068,0.8534,0.08534,4,0.464723172,0.885456026,107
408320,L2_MORRISONS,2025,202523,7445,1,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.3618,0.6809,0.06809,23,0.354604887,-0.935016243,126
409690,L2_SAINSBURY'S,2025,202522,4829,1,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.7424,1.417575758,0.141757576,22,0.464723172,-0.885456026,125
429221,L2_CRTG,2025,202524,317,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.9462,1.9462,0.19462,24,0.239315664,-0.970941817,127
283971,L2_TESCO,2025,202523,5739,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5317,1.446685714,0.144668571,23,0.354604887,-0.935016243,126
414197,L2_SAINSBURY'S,2025,202522,3806,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.7917,1.43625,0.143625,22,0.464723172,-0.885456026,125
407265,L2_MORRISONS,2025,202542,113,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5605,3.736666667,0.373666667,42,-0.935016243,0.354604887,145
408320,L2_CRTG,2025,202542,5854,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.7538,0.8769,0.08769,42,-0.935016243,0.354604887,145
452780,L2_SAINSBURY'S,2025,202542,4536,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.5177,2.75885,0.275885,42,-0.935016243,0.354604887,145
283978,L2_ASDA,2025,202543,34917,0,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.4914,1.423657143,0.142365714,43,-0.885456026,0.464723172,146
414197,L2_TESCO,2025,202543,7234,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.5088,1.329090909,0.132909091,43,-0.885456026,0.464723172,146
429221,L2_MORRISONS,2025,202540,1176,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.401,1.401,0.1401,40,-0.992708874,0.12053668,143
207883,L2_SAINSBURY'S,2025,202541,573,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5495,3.663333333,0.366333333,41,-0.970941817,0.239315664,144
407265,L2_ASDA,2025,202543,803,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5283,3.522,0.3522,43,-0.885456026,0.464723172,146
409690,L2_MORRISONS,2025,202543,1817,0,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,4.021,1.523106061,0.152310606,43,-0.885456026,0.464723172,146
283978,L2_MORRISONS,2025,202524,27199,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.5118,1.435314286,0.143531429,24,0.239315664,-0.970941817,127
207883,L2_ASDA,2025,202535,1211,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5284,3.522666667,0.352266667,35,-0.885456026,-0.464723172,138
407265,L2_MORRISONS,2025,202539,97,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.6481,4.320666667,0.432066667,39,-1.0,-1.84e-16,142
407265,L2_MORRISONS,2025,202535,112,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.6466,4.310666667,0.431066667,35,-0.885456026,-0.464723172,138
414198,L2_CRTG,2025,202536,7174,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.8819,0.94095,0.094095,36,-0.935016243,-0.354604887,139
207883,L2_MORRISONS,2025,202536,249,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.6011,4.007333333,0.400733333,36,-0.935016243,-0.354604887,139
283978,L2_ASDA,2025,202537,31304,0,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.5962,1.483542857,0.148354286,37,-0.970941817,-0.239315664,140
429221,L2_ASDA,2025,202537,1111,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.3975,1.3975,0.13975,37,-0.970941817,-0.239315664,140
408320,L2_MORRISONS,2025,202535,8566,1,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.3534,0.6767,0.06767,35,-0.885456026,-0.464723172,138
407265,L2_CRTG,2025,202538,436,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5763,3.842,0.3842,38,-0.992708874,-0.12053668,141
207883,L2_SAINSBURY'S,2025,202538,513,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.5381,3.587333333,0.358733333,38,-0.992708874,-0.12053668,141
429221,L2_SAINSBURY'S,2025,202537,1124,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.8716,1.8716,0.18716,37,-0.970941817,-0.239315664,140
283978,L2_ASDA,2025,202538,41280,1,COCA-COLA,COLA,PET,1750,1,1.75LNRP X6 COCA-COLA,2.0464,1.169371429,0.116937143,38,-0.992708874,-0.12053668,141
429221,L2_SAINSBURY'S,2025,202535,1678,1,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.4233,1.4233,0.14233,35,-0.885456026,-0.464723172,138
414198,L2_CRTG,2025,202535,8172,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.8799,0.93995,0.093995,35,-0.885456026,-0.464723172,138
414198,L2_MORRISONS,2025,202536,5483,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.875,0.9375,0.09375,36,-0.935016243,-0.354604887,139
452780,L2_SAINSBURY'S,2025,202512,3670,1,MONSTER,NOT STATED,CAN,500,4,500MLCAN 6X4P MN ULTRA,5.5881,2.79405,0.279405,12,0.992708874,0.12053668,115
283971,L2_SAINSBURY'S,2025,202511,2233,0,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.531,1.446285714,0.144628571,11,0.970941817,0.239315664,114
283971,L2_MORRISONS,2025,202515,3145,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.5821,1.475485714,0.147548571,15,0.970941817,-0.239315664,118
429221,L2_SAINSBURY'S,2025,202511,1148,0,SCHWEPPES,GINGER,PET,1000,1,1LNRP X6 CD GNGR ALE REDSGN,1.8418,1.8418,0.18418,11,0.970941817,0.239315664,114
414197,L2_ASDA,2025,202516,6145,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.4765,1.316856061,0.131685606,16,0.935016243,-0.354604887,119
